id	filename	md5	size	state
e0208abc-7363-41e0-86f0-5650c7fdfa25	TCGA-UW-A7GL-11Z-00-DX1.3508B4AD-C189-4416-848A-CA6771F2EE46.svs	c7b82fe57226121889002115aba5f661	1754801950	released
a88dce83-3dbb-40c8-8301-105c9a76ad64	TCGA-KL-8329-01Z-00-DX1.6c9000ef-34ff-4e44-84b3-755a868f6a4e.svs	0b18430e089c98d200f276820a426216	1319639226	released
45fb9a62-47fe-4a75-bd24-e86eb8d4548d	TCGA-UW-A7GC-11Z-00-DX1.ADAF7B0F-8EDC-4022-A873-3A5EBA4A46C3.svs	75ba020e62864cc238452c11dc269fbc	520129390	released
da07881a-ff4c-4aad-8833-c7cd3da231c3	TCGA-UW-A72R-01Z-00-DX1.0D9559B0-80C4-42BA-9461-F92792F0FC0F.svs	b5e580242f2967f8a1ec5f4ea1298e8a	2579284394	released
cf625871-ecaa-4376-b345-8e004ec85796	TCGA-KN-8423-01Z-00-DX1.EE5F8790-38EB-437F-9C5A-BC6FB58F6ACD.svs	96d9669428ab74188dae07f10946d22e	1588073099	released
619cd8e7-508c-43d2-bc78-f71be7d401c3	TCGA-KL-8327-01Z-00-DX1.f3009cdc-baf7-45ba-95a6-1b6311799cc8.svs	0cb5e93e98a3567e9b31713d36d55c7e	1384391182	released
6515b7ef-ff65-402f-afee-e1c4d60b5e93	TCGA-KM-8441-01Z-00-DX1.D2CA0ADE-7EDF-49A6-989C-2761F1CFE340.svs	98df1090de439e8f83fea9379817677a	1887076183	released
bdb1e896-2432-4702-b31a-09a9711ff915	TCGA-KM-A7QI-01Z-00-DX1.D5284A3E-891C-4750-BE93-C09C7F23C95C.svs	ad4ebe44023c2acc02bbccc151169191	1042206607	released
9d88fce8-db1b-48fc-bdf2-401b7d487254	TCGA-KN-8435-01Z-00-DX1.99219621-93BA-448B-8AFE-AEECA888BDA4.svs	a12fca1b9df772da2d2ddc8a168fa30f	1057655053	released
0631c817-a7b4-4906-a06c-a140dbb5d0ea	TCGA-KM-A7QH-01Z-00-DX1.8CBB8760-A00D-4289-AD09-959FEC2EC03C.svs	bca31aa8aa7ba96d13e8d64d9d06c5b0	629158787	released
a3aa9c10-df98-4bf6-9107-f8cfa26de739	TCGA-KN-8425-01Z-00-DX1.1D2AB7D2-6AC3-4785-9FBC-40AEED5DE558.svs	c48307da46094ef3eeca422b7f39797a	935473777	released
2d08f46e-c7b8-4da2-ac0f-249f8738f3b7	TCGA-KN-8434-01Z-00-DX1.EC2C42B5-DB0D-44A3-8224-E982201AE337.svs	fce54bd70846adc3a51f6676c56fb0e9	402241321	released
dbd09c59-994d-4adb-9f98-267c9b8ea645	TCGA-UW-A7GP-01Z-00-DX1.C997CBA5-AF20-4CB3-9CB3-82AA65146EF5.svs	53bba8e4b2e8d549fa912dd4ca100708	1601448324	released
e36d9e96-3067-4bb8-b9f6-0ad049b22f93	TCGA-NP-A5H6-01Z-00-DX1.49B2A361-7BCD-4321-8372-8BAB636E812F.svs	737c38aa1beee5117f222868af5beb39	198959314	released
6fd06f4b-8c99-4bc8-b0d6-d5dfc3719842	TCGA-KM-A7QC-01Z-00-DX1.4B44EEAA-FA1C-47F9-852F-68EE45E09D5E.svs	b3de6258a7eda6b726c36181a8aa49b2	1580370105	released
69927580-36ee-4e3b-b67a-d4943d9104bb	TCGA-UW-A7GN-11Z-00-DX1.ABAA5DC6-D63C-4BBF-AB0C-213B95C79720.svs	d53eb2dbac9721ae2313058a8d621ffc	1009491360	released
5e2dbd54-dd77-4e6a-a41d-493c8d9df5e5	TCGA-KL-8344-01Z-00-DX1.fdcc3157-799f-42ed-99dc-b13d381d9230.svs	4e65ca7a066667be21bedf1a3b724d53	1447151882	released
b91b7b9c-bf6f-4949-bc56-71ce9300f831	TCGA-KM-A7QB-01Z-00-DX1.CC441A0F-8A5C-4406-8A8D-86CB62E7B114.svs	ce27e23452c367c09bcbca7d56f2a227	1125133081	released
4575fcfd-b869-4f94-88a4-c292f6ed0532	TCGA-KO-8414-01Z-00-DX1.F827AA8C-3A50-4697-9788-98A3D87BCE52.svs	713e06ac7016e624fa21f3e3d8ce8772	1299492325	released
a981352d-38e3-4330-b706-ea260071417b	TCGA-NP-A5H7-01Z-00-DX1.3AEF89FD-4E13-433C-85D8-C8F9F9EA9EF3.svs	a00926e1dc44f46048f9927687ef7905	183138192	released
d8cd83c2-4ca3-4275-8c0b-ae0ef6a6ee35	TCGA-KL-8342-01Z-00-DX1.a0dac779-03d7-4041-9e56-b33e548d5567.svs	0c04822230d122b132ec2b14b3d14ead	1389700774	released
fd1d6ea1-f7d4-47fe-9a84-893526106d39	TCGA-KM-A7QJ-01Z-00-DX1.5011C41F-4385-4AB2-8AFE-5409125EDC31.svs	5e97de4b9011be009e13a4e8db8f2316	1206253383	released
b435f7be-8d63-4217-99f9-a8e8e6335e71	TCGA-UW-A7GK-01Z-00-DX1.B074DEBE-1697-443B-B426-BD57553E1108.svs	273f1500f826e643d4a1e10abeb18ca3	1505071092	released
65cc1c96-c0db-4e5a-9e7e-0218dca27f8d	TCGA-NP-A5B3-01Z-00-DX1.6DE4C2C4-E135-4117-864D-2A477D6FDB86.svs	5542e9302beea978c56c720a3f25d2c7	134144490	released
5a88c876-600f-408b-b825-4546725d8001	TCGA-KM-8438-01Z-00-DX1.1106521B-3563-43AA-8971-18560BAC51C4.svs	b52f392d835f7ba009aaefae4121fa8a	1007291297	released
be643607-8138-47e2-b9a0-8ad80b86e005	TCGA-KL-8326-01Z-00-DX1.0fe86143-728f-4447-98a5-4a6d87ef398b.svs	437e2c4838b186f7b7db829270d5071d	888359022	released
